start_date_local,name,distance_km,moving_minutes,pace_min_per_km,average_heartrate,max_heartrate,training_load,km_per_hour
2022-12-05 11:38:42,W1/01,1.76907,20.45,11.990407673860913,,,55.0,5.190425427872861
2022-12-05 11:38:42,W1/01,1.76907,20.45,11.990407673860913,,,55.0,5.190425427872861
2022-12-05 11:38:42,W1/01,1.76907,20.45,11.990407673860913,,,55.0,5.190425427872861
2022-12-07 16:05:38,W01/02,1.951,21.666666666666668,11.337868480725625,,,67.0,5.402769230769231
2022-12-07 16:05:38,W01/02,1.951,21.666666666666668,11.337868480725625,,,67.0,5.402769230769231
2022-12-10 10:08:29,Week01/Train03,1.9674800000000001,24.016666666666666,12.72264631043257,,,58.0,4.915286606523248
2022-12-12 18:00:00,Evening Run,1.213666,26.0,,,,18.0,2.800767692307692
2022-12-15 05:42:48,Morning Run,2.3099197,11.0,10.269745758271505,,,188.0,12.599562
2022-12-15 17:24:30,Afternoon Other,1.0315519999999998,11.5,11.303673714303761,,,19.0,5.382010434782607
2022-12-16 11:37:16,Treadmill 16Dec2022 (w02/d4),1.77,24.416666666666668,13.774104683195592,121.0,136.0,42.0,4.349488054607509
2022-12-22 05:59:14,Morning Run,0.533,6.566666666666666,,,,14.0,4.87005076142132
2022-12-23 12:22:00,[HR] Running Fast Finish RFF3,1.51,20.0,13.227513227513226,114.0,129.0,37.0,4.53
2022-12-26 10:39:00,Strava 26Dwc2023 WorOut,2.48,29.016666666666666,12.1654501216545,120.0,174.0,78.0,5.128087306145893
2022-12-28 20:23:50,Night Run,0.70686,68.48333333333333,,,,2.0,0.6192981260647359
2023-01-06 16:04:44,PutDoor Run 01,2.2635300000000003,25.466666666666665,12.531328320802004,,,70.0,5.332924083769635
2023-01-15 11:14:30,OutDoor Run 02,2.54177,28.0,11.49425287356322,,,84.0,5.44665
2023-02-04 10:04:35,Run (OutDoor - 03),1.02465,10.366666666666667,6.74053075073942,114.0,137.0,1.0,5.930450160771705
2023-02-12 12:21:47,Run (OutDoor - 05),4.21366,49.4,13.88888888888889,,,1.0,5.117805668016194
2023-02-19 12:05:00,Lycabetus Run,5.5586,80.1,14.374205178324665,,,124.0,4.16374531835206
2023-02-24 10:43:00,KeepFit Run - TimeStamp,1.4519300000000002,15.066666666666666,10.733563040169242,,,33.0,5.782022123893806
2023-03-03 09:52:34,JHeel 69Plan,1.38455,14.016666666666667,10.253184131458616,90.0,105.0,4.0,5.926730083234244
2023-03-04 10:01:35,Morning Run,0.4205,4.1,9.798157946306095,,,8.0,6.153658536585366
2023-03-05 12:42:00,Run (JHell69-1.5km),1.31154,14.05,10.687491714522048,101.0,141.0,8.0,5.6008825622775795
2023-03-07 10:18:00,Morning Run Full Data,1.3337999999999999,14.583333333333334,10.942034789543092,119.0,152.0,17.0,5.487634285714285
2023-03-10 10:00:01,JHeel 69Plan,1.216,11.85,10.05868194813816,123.0,145.0,15.0,6.1569620253164565
2023-03-14 10:11:05,Run (JHell69-1.5km),1.47404,14.4,9.916154943490808,123.0,168.0,21.0,6.141833333333333
2023-03-16 09:15:00,Run (JHell69-1.5km),2.07209,20.033333333333335,10.009639683400703,124.0,161.0,27.0,6.205926788685525
2023-03-17 13:45:00,MyRun Full 17032023,1.044,9.916666666666666,9.819272557260057,135.0,175.0,1.0,6.316638655462185
2023-03-18 18:35:27,Evening Run,1.7198,17.35,10.673864095922003,120.0,163.0,24.0,5.947435158501441
2023-03-21 10:18:22,Run (JHell69-2.0km),1.735,18.4,10.715814707961473,123.0,157.0,26.0,5.657608695652175
2023-03-23 10:11:00,Run (JHell69-2.0km),1.3,12.116666666666667,9.564228499977771,126.0,155.0,1.0,6.437414030261348
2023-03-25 09:16:00,Cascais-by Atlantic Run (JHell69-2.0km),1.039,9.933333333333334,10.55760876411597,128.0,155.0,15.0,6.275838926174496
2023-03-31 11:58:00,Run (JHell69-3.0km),1.07416,10.583333333333334,9.959370945415596,121.0,139.0,13.0,6.089725984251968
2023-04-07 11:11:00,Run (JHell69-2.0km)-CooperTest,1.394,13.283333333333333,10.431341608433181,121.0,155.0,16.0,6.296612296110414
2023-04-09 10:40:00,Run (JHell69-3.0km) - limitUp,1.623,16.25,10.331692371297384,122.0,156.0,1.0,5.992615384615385
2023-04-20 10:34:00,Run (JHell69-2.0km),1.3069000000000002,12.35,9.592034099604488,118.0,137.0,13.0,6.3493117408906885
2023-04-23 10:55:00,Morning Run,1.045,10.3,10.481329921450818,122.0,143.0,12.0,6.087378640776698
2023-04-25 09:28:00,Run (JHell69-3.0km) - limitUp,1.548,14.866666666666667,10.01372140188815,121.0,148.0,19.0,6.247533632286995
2023-04-28 09:07:00,Run (JHell69-3.0km) - limitUp,1.999,20.333333333333332,10.597895986992228,124.0,143.0,27.0,5.898688524590165
2023-04-28 21:04:42,Chaidari Running,0.202,2.2666666666666666,12.540135644640847,105.0,120.0,1.0,5.347058823529412
2023-04-30 10:58:00,Sunday EasyRun 1km - week0,1.014,9.8,9.995667877541873,133.0,175.0,25.0,6.208163265306122
2023-05-02 09:16:00,Run (JHell69-1.0km),1.242,11.866666666666667,9.783725656818682,129.0,161.0,20.0,6.2797752808988765
2023-05-05 15:31:00,Running,0.991,6.366666666666666,12.624945614890526,106.0,128.0,10.0,9.339267015706808
2023-05-06 10:09:00,Run (JHell69-1.0km),1.351,12.816666666666666,9.721823060370403,129.0,153.0,21.0,6.324577373211963
2023-05-07 10:24:00,Morning RunX,1.631,16.233333333333334,10.520203219186392,138.0,175.0,40.0,6.0283367556468175
2023-05-09 08:55:00,Morning RunXX,2.005,20.116666666666667,10.280406306330201,114.0,146.0,1.0,5.980115990057994
2023-05-11 09:08:00,Run (OutDoor),1.0148,8.75,8.743032262296143,125.0,157.0,1.0,6.95862857142857
2023-05-12 06:08:00,Run (JHell69-3.0km) - limitUp,2.002,18.85,9.771479681292638,128.0,161.0,1.0,6.372413793103447
2023-05-13 10:05:00,Runalyze_day#409,2.002,19.6,10.225871713126176,136.0,175.0,49.0,6.128571428571427
2023-05-16 09:13:00,Morning Run from RunAlyze,3.003,30.9,10.798983763792705,119.0,154.0,37.0,5.831067961165049
2023-05-18 00:40:00,Early morning Run,1.0177,9.9,11.902306628937307,117.0,128.0,11.0,6.167878787878788
2023-05-19 10:08:00,Running,1.0148,8.75,8.743032262296143,125.0,157.0,13.0,6.95862857142857
2023-05-19 13:08:00,Lunch Run,1.0148,8.75,8.743032262296143,125.0,157.0,13.0,6.95862857142857
